Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
LALL-PD-KC2015-176-LH-30d-CS-ITS_S102_L001_R1_001	pass	0.0	fail	245.043586492	Sanger / Illumina 1.9	fail	warn	warn	178-251	Conventional base calls	pass	fail	42582.0	pass	fail	fail	44.0	1.35033582265	LALL-PD-KC2015-176-LH-30d-CS-ITS_S102_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-176-LH-30d-CS-ITS_S102_L001_R2_001	pass	0.0	fail	245.103564887	Sanger / Illumina 1.9	warn	pass	warn	178-251	Conventional base calls	pass	fail	42582.0	pass	fail	fail	39.0	4.8494669109	LALL-PD-KC2015-176-LH-30d-CS-ITS_S102_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-177-LH-30d-CS-ITS_S103_L001_R1_001	pass	0.0	fail	244.388326708	Sanger / Illumina 1.9	warn	warn	warn	178-251	Conventional base calls	pass	fail	33204.0	pass	fail	fail	44.0	1.49680761354	LALL-PD-KC2015-177-LH-30d-CS-ITS_S103_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-177-LH-30d-CS-ITS_S103_L001_R2_001	pass	0.0	fail	244.458920612	Sanger / Illumina 1.9	fail	pass	warn	178-251	Conventional base calls	pass	fail	33204.0	pass	fail	fail	40.0	5.01445608963	LALL-PD-KC2015-177-LH-30d-CS-ITS_S103_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-178-LH-30d-CS-ITS-fixed_S104_L001_R1_001	pass	0.0	fail	243.476299588	Sanger / Illumina 1.9	fail	pass	warn	178-251	Conventional base calls	pass	fail	50189.0	pass	fail	fail	43.0	0.705333838092	LALL-PD-KC2015-178-LH-30d-CS-ITS-fixed_S104_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-178-LH-30d-CS-ITS-fixed_S104_L001_R2_001	pass	0.0	fail	243.498017494	Sanger / Illumina 1.9	fail	pass	warn	178-251	Conventional base calls	pass	fail	50189.0	pass	fail	fail	39.0	4.30373189344	LALL-PD-KC2015-178-LH-30d-CS-ITS-fixed_S104_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-181-LH-LB-30d-CS-ITS_S105_L001_R1_001	pass	0.0	fail	243.306434693	Sanger / Illumina 1.9	fail	warn	warn	176-251	Conventional base calls	pass	fail	61961.0	pass	fail	fail	43.0	1.18138829264	LALL-PD-KC2015-181-LH-LB-30d-CS-ITS_S105_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-181-LH-LB-30d-CS-ITS_S105_L001_R2_001	pass	0.0	fail	243.310695437	Sanger / Illumina 1.9	fail	pass	warn	177-251	Conventional base calls	pass	fail	61961.0	pass	fail	fail	40.0	4.43020609738	LALL-PD-KC2015-181-LH-LB-30d-CS-ITS_S105_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-182-LH-LB-30d-CS-ITS_S106_L001_R1_001	pass	0.0	fail	240.582093111	Sanger / Illumina 1.9	warn	pass	warn	176-251	Conventional base calls	pass	fail	71291.0	pass	fail	fail	43.0	1.26804224937	LALL-PD-KC2015-182-LH-LB-30d-CS-ITS_S106_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-182-LH-LB-30d-CS-ITS_S106_L001_R2_001	pass	0.0	fail	240.596653154	Sanger / Illumina 1.9	fail	pass	warn	176-251	Conventional base calls	pass	fail	71291.0	pass	fail	fail	41.0	4.02855900464	LALL-PD-KC2015-182-LH-LB-30d-CS-ITS_S106_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-183-LH-LB-30d-CS-ITS_S107_L001_R1_001	pass	0.0	fail	244.399264159	Sanger / Illumina 1.9	warn	pass	warn	177-251	Conventional base calls	pass	fail	71211.0	pass	fail	fail	43.0	1.26244540871	LALL-PD-KC2015-183-LH-LB-30d-CS-ITS_S107_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-183-LH-LB-30d-CS-ITS_S107_L001_R2_001	pass	0.0	fail	244.492171153	Sanger / Illumina 1.9	fail	pass	warn	177-251	Conventional base calls	pass	fail	71211.0	pass	fail	fail	41.0	4.22687506144	LALL-PD-KC2015-183-LH-LB-30d-CS-ITS_S107_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-186-LB-30d-CS-ITS_S108_L001_R1_001	pass	0.0	fail	243.995851513	Sanger / Illumina 1.9	warn	pass	warn	177-251	Conventional base calls	pass	fail	69905.0	pass	fail	fail	44.0	1.29461411916	LALL-PD-KC2015-186-LB-30d-CS-ITS_S108_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-186-LB-30d-CS-ITS_S108_L001_R2_001	pass	0.0	fail	243.780301838	Sanger / Illumina 1.9	warn	pass	warn	177-251	Conventional base calls	pass	fail	69905.0	pass	fail	fail	42.0	3.9138831271	LALL-PD-KC2015-186-LB-30d-CS-ITS_S108_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-187-LB-30d-CS-ITS_S109_L001_R1_001	pass	0.0	fail	243.848511689	Sanger / Illumina 1.9	warn	warn	warn	177-251	Conventional base calls	pass	fail	37257.0	pass	fail	fail	43.0	1.51917760421	LALL-PD-KC2015-187-LB-30d-CS-ITS_S109_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-187-LB-30d-CS-ITS_S109_L001_R2_001	pass	0.0	fail	243.747913144	Sanger / Illumina 1.9	warn	pass	warn	177-251	Conventional base calls	pass	fail	37257.0	pass	fail	fail	40.0	4.95745765896	LALL-PD-KC2015-187-LB-30d-CS-ITS_S109_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-188-LB-30d-CS-ITS_S110_L001_R1_001	pass	0.0	fail	242.8424238	Sanger / Illumina 1.9	fail	pass	warn	177-251	Conventional base calls	pass	fail	54856.0	pass	fail	fail	43.0	1.30705848039	LALL-PD-KC2015-188-LB-30d-CS-ITS_S110_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-188-LB-30d-CS-ITS_S110_L001_R2_001	pass	0.0	fail	242.900284381	Sanger / Illumina 1.9	fail	pass	warn	177-251	Conventional base calls	pass	fail	54856.0	pass	fail	fail	40.0	5.11338777891	LALL-PD-KC2015-188-LB-30d-CS-ITS_S110_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-191-Control-112d-CS-ITS_S111_L001_R1_001	pass	0.0	fail	241.528765662	Sanger / Illumina 1.9	fail	warn	warn	178-251	Conventional base calls	pass	fail	37510.0	pass	fail	fail	44.0	1.78619034924	LALL-PD-KC2015-191-Control-112d-CS-ITS_S111_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-191-Control-112d-CS-ITS_S111_L001_R2_001	pass	0.0	fail	241.463982938	Sanger / Illumina 1.9	fail	pass	warn	178-251	Conventional base calls	pass	fail	37510.0	pass	fail	fail	41.0	4.99600106638	LALL-PD-KC2015-191-Control-112d-CS-ITS_S111_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-192-Control-112d-CS-ITS_S112_L001_R1_001	pass	0.0	fail	243.564372884	Sanger / Illumina 1.9	fail	pass	warn	175-251	Conventional base calls	pass	fail	46953.0	pass	fail	fail	47.0	1.66549528252	LALL-PD-KC2015-192-Control-112d-CS-ITS_S112_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-192-Control-112d-CS-ITS_S112_L001_R2_001	pass	0.0	fail	243.626946095	Sanger / Illumina 1.9	warn	pass	warn	175-251	Conventional base calls	pass	fail	46953.0	pass	fail	fail	47.0	4.63868123443	LALL-PD-KC2015-192-Control-112d-CS-ITS_S112_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-193-Control-112d-CS-ITS_S113_L001_R1_001	pass	0.0	fail	240.060302411	Sanger / Illumina 1.9	warn	pass	warn	177-251	Conventional base calls	pass	fail	44509.0	pass	fail	fail	43.0	1.66932530499	LALL-PD-KC2015-193-Control-112d-CS-ITS_S113_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-193-Control-112d-CS-ITS_S113_L001_R2_001	pass	0.0	fail	240.074546721	Sanger / Illumina 1.9	fail	pass	warn	177-251	Conventional base calls	pass	fail	44509.0	pass	fail	fail	41.0	5.21692242018	LALL-PD-KC2015-193-Control-112d-CS-ITS_S113_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-196-LH-112d-CS-ITS_S114_L001_R1_001	pass	0.0	fail	241.673806905	Sanger / Illumina 1.9	fail	pass	warn	37-251	Conventional base calls	pass	fail	51819.0	pass	fail	fail	43.0	1.63067600687	LALL-PD-KC2015-196-LH-112d-CS-ITS_S114_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-196-LH-112d-CS-ITS_S114_L001_R2_001	pass	0.0	fail	241.806132886	Sanger / Illumina 1.9	warn	pass	warn	37-251	Conventional base calls	pass	fail	51819.0	pass	fail	fail	43.0	5.18728651653	LALL-PD-KC2015-196-LH-112d-CS-ITS_S114_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-197-LH-112d-CS-ITS_S115_L001_R1_001	pass	0.0	fail	245.259347181	Sanger / Illumina 1.9	fail	pass	warn	35-251	Conventional base calls	pass	fail	35385.0	pass	fail	fail	45.0	1.88497951109	LALL-PD-KC2015-197-LH-112d-CS-ITS_S115_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-197-LH-112d-CS-ITS_S115_L001_R2_001	pass	0.0	fail	245.480825208	Sanger / Illumina 1.9	fail	pass	warn	35-251	Conventional base calls	pass	fail	35385.0	pass	fail	fail	43.0	5.85276246997	LALL-PD-KC2015-197-LH-112d-CS-ITS_S115_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-198-LH-112d-CS-ITS_S116_L001_R1_001	pass	0.0	fail	242.019462279	Sanger / Illumina 1.9	fail	pass	warn	176-251	Conventional base calls	pass	fail	49840.0	pass	fail	fail	44.0	1.47070626003	LALL-PD-KC2015-198-LH-112d-CS-ITS_S116_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-198-LH-112d-CS-ITS_S116_L001_R2_001	pass	0.0	fail	241.949839486	Sanger / Illumina 1.9	warn	pass	warn	177-251	Conventional base calls	pass	fail	49840.0	pass	fail	fail	41.0	4.91573033708	LALL-PD-KC2015-198-LH-112d-CS-ITS_S116_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-201-LH-LB-112d-CS-ITS_S117_L001_R1_001	pass	0.0	fail	242.010455527	Sanger / Illumina 1.9	fail	warn	warn	44-251	Conventional base calls	pass	fail	61116.0	pass	fail	fail	44.0	1.42515871458	LALL-PD-KC2015-201-LH-LB-112d-CS-ITS_S117_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-201-LH-LB-112d-CS-ITS_S117_L001_R2_001	pass	0.0	fail	242.01680411	Sanger / Illumina 1.9	fail	pass	warn	44-251	Conventional base calls	pass	fail	61116.0	pass	fail	fail	41.0	4.56018064009	LALL-PD-KC2015-201-LH-LB-112d-CS-ITS_S117_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-202-LH-LB-112d-CS-ITS_S118_L001_R1_001	pass	0.0	fail	244.432408669	Sanger / Illumina 1.9	fail	warn	warn	38-251	Conventional base calls	pass	fail	45494.0	pass	fail	fail	45.0	1.60240910889	LALL-PD-KC2015-202-LH-LB-112d-CS-ITS_S118_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-202-LH-LB-112d-CS-ITS_S118_L001_R2_001	pass	0.0	fail	244.499362553	Sanger / Illumina 1.9	warn	pass	warn	38-251	Conventional base calls	pass	fail	45494.0	pass	fail	fail	42.0	4.94350903416	LALL-PD-KC2015-202-LH-LB-112d-CS-ITS_S118_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-203-LH-LB-112d-CS-ITS_S119_L001_R1_001	pass	0.0	fail	239.568375542	Sanger / Illumina 1.9	fail	pass	warn	38-251	Conventional base calls	pass	fail	64994.0	pass	fail	fail	43.0	1.39243622488	LALL-PD-KC2015-203-LH-LB-112d-CS-ITS_S119_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-203-LH-LB-112d-CS-ITS_S119_L001_R2_001	pass	0.0	fail	239.505646675	Sanger / Illumina 1.9	fail	pass	warn	38-251	Conventional base calls	pass	fail	64994.0	pass	fail	fail	42.0	4.46041173031	LALL-PD-KC2015-203-LH-LB-112d-CS-ITS_S119_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-206-LB-112d-CS-ITS_S120_L001_R1_001	pass	0.0	fail	245.216290565	Sanger / Illumina 1.9	fail	pass	warn	38-251	Conventional base calls	pass	fail	46530.0	pass	fail	fail	44.0	1.69353105523	LALL-PD-KC2015-206-LB-112d-CS-ITS_S120_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-206-LB-112d-CS-ITS_S120_L001_R2_001	pass	0.0	fail	245.329185472	Sanger / Illumina 1.9	fail	pass	warn	38-251	Conventional base calls	pass	fail	46530.0	pass	fail	fail	43.0	5.59638942618	LALL-PD-KC2015-206-LB-112d-CS-ITS_S120_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-207-LB-112d-CS-ITS_S121_L001_R1_001	pass	0.0	fail	241.153660902	Sanger / Illumina 1.9	fail	pass	warn	38-251	Conventional base calls	pass	fail	29897.0	pass	fail	fail	44.0	1.96675251697	LALL-PD-KC2015-207-LB-112d-CS-ITS_S121_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-207-LB-112d-CS-ITS_S121_L001_R2_001	pass	0.0	fail	241.482021608	Sanger / Illumina 1.9	warn	pass	warn	38-251	Conventional base calls	pass	fail	29897.0	pass	fail	fail	43.0	6.83346155133	LALL-PD-KC2015-207-LB-112d-CS-ITS_S121_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-208-LB-112d-CS-ITS_S122_L001_R1_001	pass	0.0	fail	242.266897924	Sanger / Illumina 1.9	warn	pass	warn	178-251	Conventional base calls	pass	fail	39206.0	pass	fail	fail	43.0	1.58394123348	LALL-PD-KC2015-208-LB-112d-CS-ITS_S122_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-208-LB-112d-CS-ITS_S122_L001_R2_001	pass	0.0	fail	242.404019793	Sanger / Illumina 1.9	fail	pass	warn	178-251	Conventional base calls	pass	fail	39206.0	pass	fail	fail	41.0	6.74896699485	LALL-PD-KC2015-208-LB-112d-CS-ITS_S122_L001_R2_001.fastq.gz	pass	pass
